Name,Price,Rating,Review Count,URL
"YOLEO Gaming Chair for Adult, Ergonomic Home Office Desk Chairs Lumbar Support High Back Swivel Racing Style Computer Games Chair Larger Armrest with Height Adjustable and Headrest-Black/White",£98.99,4.6 out of 5 stars,3,https://amazon.co.uk/YOLEO-Ergonomic-Computer-Adjustable-Headrest-Black/dp/B09TF9YVKV/ref=sr_1_23?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-23
"IntimaTe WM Heart Gaming Chair, Ergonomic High Back Office Racing Chair with Armrest, Swivel Leather Desk Chairs with Adjustable Headrest and Lumbar Cushion for Office and Home, Blue",£119.99,4.5 out of 5 stars,"3,118",https://amazon.co.uk/IntimaTe-WM-Heart-High-back-Adjustable/dp/B07V5YWG8H/ref=sr_1_24?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-24
BraZen Puma Pc Gaming Chairs for Adults Height Adjustable Ergonomic Pu Leather Seat with Armrest Largest British Brand -Red,£129.99,4.5 out of 5 stars,389,https://amazon.co.uk/BraZen-18070-Puma-Gaming-Chair-Red/dp/B07PB5BYRH/ref=sr_1_25?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-25
"Dripex Gaming Chair Ergonomic Home Office Desk Chairs Adjustable High Back Swivel PU Leather Racing Computer Desk Chair with Lumbar Support and Headrest (Blue, without footrest)",£99.98,4.4 out of 5 stars,473,https://amazon.co.uk/Dripex-Ergonomic-Adjustable-Computer-Headrest/dp/B08GFSRB8F/ref=sr_1_26?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-26
BraZen Puma Pc Gaming Chairs for Adults Height Adjustable Ergonomic Pu Leather Seat with Armrest Largest British Brand (Grey),£99.95,4.2 out of 5 stars,236,https://amazon.co.uk/BraZen-18069-Puma-Gaming-Chair-Grey/dp/B07PB3PPWY/ref=sr_1_27?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-27
"IntimaTe WM Heart Gaming Chair,Ergonomic Office Chair for Adults and Kids,High back Swivel Computer Desk Chair Leather chair with arms and back support for Home,Red",£105.99,4.5 out of 5 stars,"6,570",https://amazon.co.uk/Gaming-Computer-Ergonomic-Office-Children/dp/B01EIXO424/ref=sr_1_28?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-28
"Hbada Ergonomic Gaming Chair with Height Adjustment Office Chair with Headrest Lumbar Support E-Sports Swivel Chair with Racing Style PU Leather High Back,GRAY",£99.99,4.2 out of 5 stars,294,https://amazon.co.uk/Hbada-Ergonomic-Adjustment-Headrest-Support/dp/B0897M3FBF/ref=sr_1_29?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-29
Anda Seat Dark Demon Pro Gaming Chair Black - Premium Desk Chair - Ergonomic Office Chair Leather with Neck and Lumbar Back Support Pillow Gaming Seat - Gaming Chairs for Adults and Teenagers,£299.00,4.6 out of 5 stars,130,https://amazon.co.uk/LifeTime-Guarantee-Ergonomic-Seat-Adjustment/dp/B07VDTM53Q/ref=sr_1_30?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-30
Anda Seat Fnatic Esports Pro Gaming Chair Black & Orange - Premium Ergonomic Office Desk Chairs Leather with Neck and Lumbar Back Support Pillow Gaming Seat - Gaming Chairs for Adults and Teenagers,£369.00,4.6 out of 5 stars,91,https://amazon.co.uk/Anda-Seat-Fnatic-Gaming-Orange/dp/B089W7CZ24/ref=sr_1_31?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-31
"Vinsetto Gaming Chair Racing Style Ergonomic Office Chair High Back Computer Desk Chair Adjustable Height Swivel Recliner with Headrest and Lumbar Support, Grey",£139.99,4.5 out of 5 stars,37,https://amazon.co.uk/Vinsetto-Ergonomic-Computer-Adjustable-Recliner/dp/B09DFY3NHX/ref=sr_1_32?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-32
